Date,Match-up,Odd,Win/Loss
13. 5. (po),Luton Town - Fulham,2.33,Win
3. 5. (pi),West Ham - Luton Town,1.67,Win
29. 4. (po),Luton Town - Everton,2.59,Loss
21. 4. (ne),Wolverhampton - Luton Town,2.03,Win
13. 4. (so),Luton Town - Brentford,2.21,Win
6. 4. (so),Manchester City - Luton Town,1.08,Win
2. 4. (ut),Luton Town - Bournemouth,2.09,Loss
23. 3. (so),Arsenal - Luton Town,1.16,Win
13. 3. (st),Tottenham - Luton Town,1.29,Win
13. 3. (st),Bournemouth - Luton Town,1.51,Win
9. 3. (so),Luton Town - Nottingham,2.54,Loss
1. 3. (pi),Crystal Palace - Luton Town,1.94,Loss
21. 2. (st),Luton Town - Aston Villa,1.84,Win
14. 2. (st),Liverpool - Luton Town,1.17,Win
10. 2. (so),Luton Town - Manchester United,1.91,Win
4. 2. (ne),Luton Town - Sheffield United,4.34,Win
31. 1. (st),Newcastle - Luton Town,1.42,Loss
14. 1. (ne),Luton Town - Brighton,1.59,Loss
30. 12. (so),Burnley - Luton Town,1.91,Loss
29. 12. (pi),Luton Town - Chelsea,1.56,Win
21. 12. (št),Sheffield United - Luton Town,2.29,Loss
16. 12. (so),Luton Town - Newcastle,1.65,Loss
10. 12. (ne),Bournemouth - Luton Town,1.42,Returned Stake (no win/loss)
5. 12. (ut),Luton Town - Manchester City,1.15,Win
3. 12. (ne),Luton Town - Arsenal,1.22,Win
27. 11. (po),Brentford - Luton Town,1.49,Win
11. 11. (so),Luton Town - Crystal Palace,2.17,Loss
5. 11. (ne),Manchester United - Luton Town,1.28,Win
30. 10. (po),Luton Town - Liverpool,1.24,Loss
22. 10. (ne),Aston Villa - Luton Town,1.24,Win
8. 10. (ne),Nottingham - Luton Town,1.63,Loss
4. 10. (st),Luton Town - Tottenham,1.45,Win
1. 10. (ne),Luton Town - Burnley,2.66,Win
24. 9. (ne),Everton - Luton Town,1.54,Loss
16. 9. (so),Luton Town - Wolverhampton,2.1,Loss
1. 9. (pi),Fulham - Luton Town,1.72,Win
25. 8. (pi),Luton Town - West Ham,1.83,Win
21. 8. (po),Chelsea - Luton Town,1.23,Win
